company,title,link,location,experience,education,employment_type,deadline,sector,salary,created_at,views,tech_stack
(주)한싹,기술 엔지니어[솔루션 구축/교육/점검] 및  솔루션연구소 S/W 연구개발자(웹개발) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49552983&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 구로구,신입·경력,초대졸↑,정규직,~ 12/24(화),"['웹개발', 'SI개발', '백엔드/서버개발', '설계엔지니어', '외']",,수정일 24/12/11,0,['Java']
(주)비보존제약,"부문별 신입/경력 공개채용(CRA/마케팅/생산,QC/연구개발)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411662&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 화성시,신입·경력,고졸↑,정규직·계약직,~ 01/17(금),"['R&D', 'HRD', '임상개발', '기획', 'R&D기획 외']",,수정일 24/12/12,0,[]
웹케시(주),"신입/경력직 모집(개발,마케팅,경영기획,법무 등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535563&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 영등포구,신입·경력,대졸↑,정규직·계약직,~ 12/16(월),"['앱개발', '웹개발', '퍼블리셔', '기획', 'CSS 외']",,수정일 24/12/06,0,[]
(주)디엠에스,"각 부문별 채용(재무/자금, IR/공시, 해외영업, 보안, 풍력발전기 개발 및 제어, 기구/기계설계, 웨어(F/W), 장바제어(S/W)등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544072&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 용인시 기흥구,신입·경력,대졸↑,정규직,~ 12/22(일),"['기구설계', 'R&D', '회로설계', '백엔드/서버개발', '금형설계 외']",,수정일 24/12/06,0,[]
알디에스(주),알디에스(오뚜기IT자회사) IT (웹)운영개발 사원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540716&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강남구,신입,대졸↑,정규직,~ 12/22(일),"['웹개발', '백엔드/서버개발', '프론트엔드', '외']","3,800 만원",등록일 24/12/06,0,"['Java', 'C++']"
마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49559707&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강남구,신입,대졸↑,정규직,~ 01/09(목),"['앱개발', '웹개발', '유지보수', '솔루션 외']",,수정일 24/12/12,0,['Java']
(주)티오이십일콤즈,2024년 웹 개발 부문 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49552352&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 구로구,신입·경력,초대졸↑,정규직,~ 02/07(금),"['웹개발', '퍼블리셔', '백엔드/서버개발', '프론트엔드 외']",,수정일 24/12/09,0,['Java']
(주)인포인,정보보안 솔루션 풀스택 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49568715&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 금천구,신입·경력,초대졸↑,정규직,채용시,"['웹개발', '백엔드/서버개발', '프론트엔드', '유지보수 외']",,등록일 24/12/11,0,['Java']
(주)큐노바,[R&D/제품개발/자금회계] 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526611&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,대전 유성구,신입·경력,대졸↑,정규직,오늘마감,"['R&D', '알고리즘개발', '기획', '연구원', '프론트엔드 외']",,수정일 24/12/04,0,[]
(주)브로드밴드아이디씨,웹 서비스 개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49570596&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 성남시 분당구,신입,학력무관,정규직,채용시,"['웹개발', '백엔드/서버개발', 'IDC', 'Linux', '네트웍구축 외']",,수정일 24/12/11,0,[]
부광약품(주),부광약품 연구개발부문 경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541338&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 동작구,경력,대졸↑,정규직,~ 12/15(일),"['R&D', '임상개발', 'R&D기획', '연구원', '생명과학 외']",,수정일 24/12/06,0,[]
(주)보령바이오파마,2024년 마케팅PM(유전체검사)/개발2팀(케미컬의약품) 신입 및 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49570889&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강동구,신입·경력,대졸↑,정규직,~ 12/22(일),"['기획', '영업관리', '전략기획', '인/허가', '영업MD 외']",,수정일 24/12/11,0,[]
(주)시티건설,[시티건설] 개발사업부 신입 및 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542184&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강남구,신입·경력,초대졸↑,정규직,~ 12/15(일),"['도시개발', '부동산', '도시교통', '건축기사', '아파트건축 외']",,수정일 24/12/06,0,[]
티케이지태광(주),[경력/신입] TKG태광 샘플개발팀 기능직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49564725&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경남 김해시,경력무관,고졸↑,정규직,~ 12/24(화),"['미싱사', '재단사', '절단가공', '제조가공', '레이저가공 외']","9,860 원",등록일 24/12/10,0,[]
에빈코리아(유),경영지원/뷰티상품기획개발/구매개발/해외온라인 아마존MD/영상콘텐츠작가/온라인마케팅/영상제작PD(연출),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496923&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강남구,신입·경력,학력무관,정규직·인턴직,~ 12/15(일),"['개발구매', '기획', '영업', '사업기획', '사업관리 외']",,수정일 24/12/01,0,[]
